clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,5
AJM,Tlalpan,BUENA,PM10,28
BJU,Benito Juárez,BUENA,PM10,35
CAM,Azcapotzalco,BUENA,NO2,18
CCA,Coyoacán,BUENA,CO,8
COY,Coyoacán,BUENA,NO2,10
CUA,Cuajimalpa,BUENA,PM10,39
GAM,Gustavo A. Madero,BUENA,O3,1
HGM,Cuauhtémoc,BUENA,PM10,40
IZT,Iztacalco,BUENA,PM10,31
MER,Venustiano Carranza,MANTENIMIENTO,,
MGH,Miguel Hidalgo,BUENA,PM10,43
MPA,Milpa Alta,BUENA,PM10,19
PED,Álvaro Obregón,BUENA,NO2,7
SFE,Cuajimalpa,BUENA,NO2,12
SJA,Gustavo A. Madero,BUENA,NO2,14
TAH,Tláhuac,BUENA,PM10,28
UAX,Coyoacán,BUENA,NO2,8
UIZ,Iztapalapa,BUENA,NO2,14
ACO,Acolman,MANTENIMIENTO,,
ATI,Atizapán,BUENA,PM10,41
CHO,Chalco,BUENA,PM10,35
CUT,Tepotzotlán,BUENA,PM10,40
FAC,Naucalpan,BUENA,PM10,26
INN,Ocoyoacac,MANTENIMIENTO,,
LLA,Ecatepec,BUENA,SO2,2
LPR,Anexo de Tlalnepantla,BUENA,SO2,2
MON,Texcoco,BUENA,O3,1
NEZ,Nezahualcóyotl,BUENA,NO2,15
SAG,Ecatepec,REGULAR,PM10,54
TLA,Tlalnepantla,REGULAR,PM10,73
TLI,Tultitlán,MANTENIMIENTO,,
VIF,Coacalco,BUENA,PM10,41
XAL,Ecatepec,REGULAR,PM10,84
