clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,31
AJM,Tlalpan,BUENA,PM10,39
BJU,Benito Juárez,REGULAR,PM10,51
CAM,Azcapotzalco,REGULAR,PM10,58
CCA,Coyoacán,BUENA,CO,6
COY,Coyoacán,BUENA,O3,31
CUA,Cuajimalpa,BUENA,PM10,35
GAM,Gustavo A. Madero,BUENA,O3,39
HGM,Cuauhtémoc,BUENA,PM10,44
IZT,Iztacalco,BUENA,PM10,39
MER,Venustiano Carranza,REGULAR,PM10,57
MGH,Miguel Hidalgo,BUENA,PM10,46
MPA,Milpa Alta,BUENA,O3,35
PED,Álvaro Obregón,BUENA,O3,30
SFE,Cuajimalpa,BUENA,O3,34
SJA,Gustavo A. Madero,BUENA,O3,33
TAH,Tláhuac,BUENA,O3,34
UAX,Coyoacán,BUENA,O3,36
UIZ,Iztapalapa,REGULAR,PM10,52
ACO,Acolman,BUENA,PM10,36
ATI,Atizapán,BUENA,PM10,50
CHO,Chalco,BUENA,PM10,41
CUT,Tepotzotlán,REGULAR,PM10,64
FAC,Naucalpan,BUENA,PM10,45
INN,Ocoyoacac,BUENA,PM10,28
LLA,Ecatepec,BUENA,O3,34
LPR,Anexo de Tlalnepantla,BUENA,O3,39
MON,Texcoco,BUENA,O3,32
NEZ,Nezahualcóyotl,BUENA,O3,36
SAG,Ecatepec,BUENA,PM10,48
TLA,Tlalnepantla,REGULAR,PM10,71
TLI,Tultitlán,REGULAR,PM10,54
VIF,Coacalco,REGULAR,PM10,54
XAL,Ecatepec,REGULAR,PM10,77
