clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,MANTENIMIENTO,,
AJM,Tlalpan,BUENA,O3,32
BJU,Benito Juárez,BUENA,PM10,28
CAM,Azcapotzalco,BUENA,PM10,34
CCA,Coyoacán,BUENA,O3,21
COY,Coyoacán,MANTENIMIENTO,,
CUA,Cuajimalpa,BUENA,O3,28
GAM,Gustavo A. Madero,BUENA,O3,16
HGM,Cuauhtémoc,BUENA,PM10,26
IZT,Iztacalco,BUENA,PM10,21
MER,Venustiano Carranza,MANTENIMIENTO,,
MGH,Miguel Hidalgo,BUENA,PM10,28
MPA,Milpa Alta,BUENA,O3,36
PED,Álvaro Obregón,BUENA,O3,20
SFE,Cuajimalpa,BUENA,O3,24
SJA,Gustavo A. Madero,BUENA,O3,19
TAH,Tláhuac,BUENA,O3,31
UAX,Coyoacán,BUENA,O3,19
UIZ,Iztapalapa,BUENA,PM10,31
ACO,Acolman,BUENA,PM10,25
ATI,Atizapán,BUENA,PM10,29
CHO,Chalco,BUENA,O3,33
CUT,Tepotzotlán,BUENA,PM10,43
FAC,Naucalpan,BUENA,PM10,24
INN,Ocoyoacac,BUENA,O3,29
LLA,Ecatepec,BUENA,O3,17
LPR,Anexo de Tlalnepantla,BUENA,O3,19
MON,Texcoco,BUENA,O3,29
NEZ,Nezahualcóyotl,BUENA,O3,19
SAG,Ecatepec,BUENA,O3,15
TLA,Tlalnepantla,BUENA,PM10,39
TLI,Tultitlán,BUENA,PM10,36
VIF,Coacalco,BUENA,PM10,36
XAL,Ecatepec,BUENA,PM10,44
