clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,MALA,O3,105
AJM,Tlalpan,MALA,O3,120
BJU,Benito Juárez,REGULAR,O3,92
CAM,Azcapotzalco,REGULAR,O3,53
CCA,Coyoacán,MALA,O3,109
COY,Coyoacán,MALA,O3,104
CUA,Cuajimalpa,MALA,O3,110
GAM,Gustavo A. Madero,BUENA,O3,50
HGM,Cuauhtémoc,REGULAR,O3,78
IZT,Iztacalco,REGULAR,O3,82
MER,Venustiano Carranza,BUENA,O3,50
MGH,Miguel Hidalgo,REGULAR,O3,67
MPA,Milpa Alta,MALA,O3,101
PED,Álvaro Obregón,MALA,O3,105
SFE,Cuajimalpa,MALA,O3,110
SJA,Gustavo A. Madero,REGULAR,O3,61
TAH,Tláhuac,REGULAR,O3,71
UAX,Coyoacán,REGULAR,O3,88
UIZ,Iztapalapa,REGULAR,O3,61
ACO,Acolman,BUENA,O3,32
ATI,Atizapán,BUENA,O3,50
CHO,Chalco,REGULAR,PM10,58
CUT,Tepotzotlán,REGULAR,PM10,52
FAC,Naucalpan,BUENA,PM10,28
INN,Ocoyoacac,MALA,O3,105
LLA,Ecatepec,BUENA,O3,37
LPR,Anexo de Tlalnepantla,BUENA,O3,46
MON,Texcoco,BUENA,O3,45
NEZ,Nezahualcóyotl,BUENA,O3,48
SAG,Ecatepec,BUENA,O3,44
TLA,Tlalnepantla,REGULAR,PM10,52
TLI,Tultitlán,BUENA,PM10,39
VIF,Coacalco,BUENA,O3,40
XAL,Ecatepec,REGULAR,PM10,55
