clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,19
AJM,Tlalpan,BUENA,O3,20
BJU,Benito Juárez,BUENA,O3,16
CAM,Azcapotzalco,BUENA,PM10,20
CCA,Coyoacán,BUENA,O3,18
COY,Coyoacán,BUENA,O3,16
CUA,Cuajimalpa,BUENA,O3,19
GAM,Gustavo A. Madero,BUENA,O3,14
HGM,Cuauhtémoc,BUENA,PM10,16
IZT,Iztacalco,BUENA,PM10,13
MER,Venustiano Carranza,BUENA,PM10,23
MGH,Miguel Hidalgo,BUENA,O3,16
MPA,Milpa Alta,BUENA,O3,21
PED,Álvaro Obregón,BUENA,O3,18
SFE,Cuajimalpa,BUENA,O3,19
SJA,Gustavo A. Madero,BUENA,O3,14
TAH,Tláhuac,BUENA,O3,16
UAX,Coyoacán,BUENA,O3,13
UIZ,Iztapalapa,BUENA,O3,14
ACO,Acolman,BUENA,O3,21
ATI,Atizapán,BUENA,O3,18
CHO,Chalco,BUENA,PM10,21
CUT,Tepotzotlán,BUENA,O3,23
FAC,Naucalpan,BUENA,O3,16
INN,Ocoyoacac,MANTENIMIENTO,,
LLA,Ecatepec,BUENA,O3,19
LPR,Anexo de Tlalnepantla,BUENA,O3,16
MON,Texcoco,BUENA,O3,15
NEZ,Nezahualcóyotl,BUENA,O3,12
SAG,Ecatepec,BUENA,PM10,18
TLA,Tlalnepantla,BUENA,PM10,24
TLI,Tultitlán,BUENA,PM10,20
VIF,Coacalco,BUENA,PM10,19
XAL,Ecatepec,BUENA,PM10,26
