clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,42
AJM,Tlalpan,BUENA,O3,46
BJU,Benito Juárez,BUENA,O3,46
CAM,Azcapotzalco,BUENA,O3,40
CCA,Coyoacán,BUENA,O3,47
COY,Coyoacán,BUENA,O3,49
CUA,Cuajimalpa,BUENA,O3,42
GAM,Gustavo A. Madero,REGULAR,O3,53
HGM,Cuauhtémoc,BUENA,O3,40
IZT,Iztacalco,BUENA,O3,47
MER,Venustiano Carranza,BUENA,O3,41
MGH,Miguel Hidalgo,BUENA,O3,38
MPA,Milpa Alta,BUENA,O3,44
PED,Álvaro Obregón,BUENA,O3,44
SFE,Cuajimalpa,BUENA,O3,43
SJA,Gustavo A. Madero,REGULAR,O3,55
TAH,Tláhuac,BUENA,PM10,23
UAX,Coyoacán,REGULAR,O3,67
UIZ,Iztapalapa,BUENA,O3,49
ACO,Acolman,BUENA,O3,44
ATI,Atizapán,BUENA,PM10,38
CHO,Chalco,REGULAR,O3,55
CUT,Tepotzotlán,BUENA,PM10,44
FAC,Naucalpan,BUENA,O3,31
INN,Ocoyoacac,BUENA,O3,36
LLA,Ecatepec,BUENA,O3,45
LPR,Anexo de Tlalnepantla,BUENA,O3,35
MON,Texcoco,BUENA,O3,44
NEZ,Nezahualcóyotl,BUENA,CO,13
SAG,Ecatepec,BUENA,O3,46
TLA,Tlalnepantla,BUENA,PM10,48
TLI,Tultitlán,BUENA,PM10,41
VIF,Coacalco,BUENA,PM10,44
XAL,Ecatepec,REGULAR,PM10,58
