clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,16
AJM,Tlalpan,BUENA,PM10,20
BJU,Benito Juárez,BUENA,PM10,26
CAM,Azcapotzalco,BUENA,NO2,17
CCA,Coyoacán,BUENA,CO,9
COY,Coyoacán,BUENA,NO2,16
CUA,Cuajimalpa,BUENA,PM10,19
GAM,Gustavo A. Madero,BUENA,O3,2
HGM,Cuauhtémoc,BUENA,PM10,30
IZT,Iztacalco,BUENA,PM10,21
MER,Venustiano Carranza,BUENA,PM10,41
MGH,Miguel Hidalgo,BUENA,PM10,26
MPA,Milpa Alta,BUENA,PM10,23
PED,Álvaro Obregón,BUENA,NO2,16
SFE,Cuajimalpa,MANTENIMIENTO,,
SJA,Gustavo A. Madero,BUENA,NO2,15
TAH,Tláhuac,BUENA,NO2,16
UAX,Coyoacán,BUENA,NO2,17
UIZ,Iztapalapa,BUENA,NO2,17
ACO,Acolman,BUENA,PM10,14
ATI,Atizapán,BUENA,PM10,23
CHO,Chalco,MANTENIMIENTO,,
CUT,Tepotzotlán,BUENA,PM10,19
FAC,Naucalpan,BUENA,PM10,23
INN,Ocoyoacac,BUENA,PM10,13
LLA,Ecatepec,BUENA,O3,2
LPR,Anexo de Tlalnepantla,BUENA,CO,10
MON,Texcoco,BUENA,O3,8
NEZ,Nezahualcóyotl,BUENA,NO2,15
SAG,Ecatepec,BUENA,PM10,24
TLA,Tlalnepantla,BUENA,PM10,40
TLI,Tultitlán,BUENA,PM10,21
VIF,Coacalco,BUENA,PM10,18
XAL,Ecatepec,BUENA,PM10,38
