clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,11
AJM,Tlalpan,BUENA,PM10,38
BJU,Benito Juárez,BUENA,PM10,49
CAM,Azcapotzalco,REGULAR,PM10,74
CCA,Coyoacán,BUENA,NO2,17
COY,Coyoacán,BUENA,NO2,13
CUA,Cuajimalpa,BUENA,PM10,40
GAM,Gustavo A. Madero,BUENA,O3,1
HGM,Cuauhtémoc,REGULAR,PM10,54
IZT,Iztacalco,BUENA,PM10,41
MER,Venustiano Carranza,REGULAR,PM10,67
MGH,Miguel Hidalgo,BUENA,PM10,48
MPA,Milpa Alta,BUENA,PM10,44
PED,Álvaro Obregón,BUENA,NO2,15
SFE,Cuajimalpa,BUENA,NO2,21
SJA,Gustavo A. Madero,BUENA,CO,15
TAH,Tláhuac,REGULAR,PM10,51
UAX,Coyoacán,BUENA,NO2,17
UIZ,Iztapalapa,REGULAR,PM10,61
ACO,Acolman,REGULAR,PM10,65
ATI,Atizapán,BUENA,PM10,48
CHO,Chalco,REGULAR,PM10,78
CUT,Tepotzotlán,REGULAR,PM10,65
FAC,Naucalpan,BUENA,PM10,49
INN,Ocoyoacac,BUENA,O3,22
LLA,Ecatepec,BUENA,SO2,2
LPR,Anexo de Tlalnepantla,BUENA,CO,5
MON,Texcoco,BUENA,NO2,16
NEZ,Nezahualcóyotl,BUENA,NO2,26
SAG,Ecatepec,REGULAR,PM10,71
TLA,Tlalnepantla,REGULAR,PM10,68
TLI,Tultitlán,REGULAR,PM10,73
VIF,Coacalco,REGULAR,PM10,74
XAL,Ecatepec,MALA,PM10,110
