clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,MALA,O3,101
AJM,Tlalpan,MALA,O3,109
BJU,Benito Juárez,REGULAR,O3,84
CAM,Azcapotzalco,REGULAR,PM10,91
CCA,Coyoacán,REGULAR,O3,94
COY,Coyoacán,REGULAR,O3,65
CUA,Cuajimalpa,REGULAR,O3,71
GAM,Gustavo A. Madero,REGULAR,O3,92
HGM,Cuauhtémoc,REGULAR,O3,82
IZT,Iztacalco,REGULAR,O3,80
MER,Venustiano Carranza,REGULAR,O3,67
MGH,Miguel Hidalgo,REGULAR,O3,51
MPA,Milpa Alta,MALA,O3,112
PED,Álvaro Obregón,MALA,O3,104
SFE,Cuajimalpa,MALA,O3,101
SJA,Gustavo A. Madero,REGULAR,O3,90
TAH,Tláhuac,MALA,O3,104
UAX,Coyoacán,MALA,O3,104
UIZ,Iztapalapa,MALA,O3,102
ACO,Acolman,REGULAR,PM10,70
ATI,Atizapán,REGULAR,PM10,80
CHO,Chalco,MALA,PM10,107
CUT,Tepotzotlán,MALA,PM10,101
FAC,Naucalpan,REGULAR,O3,57
INN,Ocoyoacac,MALA,O3,105
LLA,Ecatepec,REGULAR,O3,63
LPR,Anexo de Tlalnepantla,BUENA,CO,10
MON,Texcoco,REGULAR,O3,84
NEZ,Nezahualcóyotl,REGULAR,O3,88
SAG,Ecatepec,REGULAR,PM10,84
TLA,Tlalnepantla,REGULAR,PM10,83
TLI,Tultitlán,MALA,PM10,103
VIF,Coacalco,MALA,PM10,105
XAL,Ecatepec,MALA,PM10,105
