clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,MANTENIMIENTO,,
AJM,Tlalpan,BUENA,PM10,49
BJU,Benito Juárez,BUENA,PM10,46
CAM,Azcapotzalco,REGULAR,PM10,55
CCA,Coyoacán,BUENA,O3,17
COY,Coyoacán,BUENA,NO2,13
CUA,Cuajimalpa,BUENA,PM10,44
GAM,Gustavo A. Madero,BUENA,O3,18
HGM,Cuauhtémoc,BUENA,PM10,40
IZT,Iztacalco,BUENA,PM10,36
MER,Venustiano Carranza,REGULAR,PM10,54
MGH,Miguel Hidalgo,BUENA,PM10,40
MPA,Milpa Alta,REGULAR,PM10,74
PED,Álvaro Obregón,BUENA,O3,15
SFE,Cuajimalpa,BUENA,O3,21
SJA,Gustavo A. Madero,BUENA,NO2,20
TAH,Tláhuac,REGULAR,PM10,57
UAX,Coyoacán,BUENA,O3,19
UIZ,Iztapalapa,BUENA,PM10,46
ACO,Acolman,BUENA,PM10,34
ATI,Atizapán,BUENA,PM10,46
CHO,Chalco,REGULAR,PM10,67
CUT,Tepotzotlán,REGULAR,PM10,58
FAC,Naucalpan,MANTENIMIENTO,,
INN,Ocoyoacac,BUENA,O3,32
LLA,Ecatepec,BUENA,O3,21
LPR,Anexo de Tlalnepantla,BUENA,O3,17
MON,Texcoco,BUENA,O3,31
NEZ,Nezahualcóyotl,BUENA,NO2,26
SAG,Ecatepec,BUENA,PM10,45
TLA,Tlalnepantla,REGULAR,PM10,57
TLI,Tultitlán,BUENA,PM10,44
VIF,Coacalco,BUENA,PM10,44
XAL,Ecatepec,REGULAR,PM10,63
