clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,12
AJM,Tlalpan,BUENA,PM10,23
BJU,Benito Juárez,BUENA,PM10,29
CAM,Azcapotzalco,BUENA,NO2,10
CCA,Coyoacán,BUENA,O3,15
COY,Coyoacán,BUENA,O3,11
CUA,Cuajimalpa,BUENA,PM10,25
GAM,Gustavo A. Madero,MANTENIMIENTO,,
HGM,Cuauhtémoc,BUENA,NO2,11
IZT,Iztacalco,BUENA,PM10,21
MER,Venustiano Carranza,BUENA,O3,9
MGH,Miguel Hidalgo,BUENA,PM10,24
MPA,Milpa Alta,BUENA,PM10,28
PED,Álvaro Obregón,BUENA,O3,11
SFE,Cuajimalpa,BUENA,O3,12
SJA,Gustavo A. Madero,BUENA,O3,17
TAH,Tláhuac,BUENA,PM10,30
UAX,Coyoacán,BUENA,O3,9
UIZ,Iztapalapa,BUENA,O3,14
ACO,Acolman,BUENA,PM10,19
ATI,Atizapán,BUENA,PM10,41
CHO,Chalco,BUENA,PM10,38
CUT,Tepotzotlán,BUENA,NO2,8
FAC,Naucalpan,MANTENIMIENTO,,
INN,Ocoyoacac,BUENA,O3,17
LLA,Ecatepec,BUENA,O3,10
LPR,Anexo de Tlalnepantla,BUENA,O3,16
MON,Texcoco,BUENA,SO2,1
NEZ,Nezahualcóyotl,BUENA,O3,14
SAG,Ecatepec,BUENA,PM10,24
TLA,Tlalnepantla,BUENA,PM10,38
TLI,Tultitlán,BUENA,PM10,38
VIF,Coacalco,BUENA,PM10,36
XAL,Ecatepec,BUENA,PM10,30
