clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,MANTENIMIENTO,,
AJM,Tlalpan,BUENA,PM10,19
BJU,Benito Juárez,BUENA,O3,24
CAM,Azcapotzalco,BUENA,PM10,30
CCA,Coyoacán,BUENA,O3,19
COY,Coyoacán,BUENA,O3,24
CUA,Cuajimalpa,BUENA,O3,25
GAM,Gustavo A. Madero,BUENA,O3,21
HGM,Cuauhtémoc,BUENA,O3,19
IZT,Iztacalco,BUENA,PM10,19
MER,Venustiano Carranza,BUENA,PM10,28
MGH,Miguel Hidalgo,BUENA,O3,23
MPA,Milpa Alta,BUENA,O3,20
PED,Álvaro Obregón,BUENA,O3,20
SFE,Cuajimalpa,BUENA,O3,24
SJA,Gustavo A. Madero,BUENA,O3,19
TAH,Tláhuac,BUENA,PM10,21
UAX,Coyoacán,BUENA,O3,16
UIZ,Iztapalapa,BUENA,PM10,23
ACO,Acolman,BUENA,O3,20
ATI,Atizapán,BUENA,PM10,20
CHO,Chalco,BUENA,O3,26
CUT,Tepotzotlán,BUENA,PM10,23
FAC,Naucalpan,BUENA,O3,22
INN,Ocoyoacac,BUENA,O3,21
LLA,Ecatepec,BUENA,O3,18
LPR,Anexo de Tlalnepantla,BUENA,O3,18
MON,Texcoco,BUENA,O3,22
NEZ,Nezahualcóyotl,BUENA,O3,16
SAG,Ecatepec,BUENA,PM10,30
TLA,Tlalnepantla,BUENA,O3,21
TLI,Tultitlán,BUENA,PM10,29
VIF,Coacalco,BUENA,PM10,24
XAL,Ecatepec,BUENA,PM10,26
