clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,21
AJM,Tlalpan,BUENA,O3,20
BJU,Benito Juárez,BUENA,PM10,20
CAM,Azcapotzalco,BUENA,O3,18
CCA,Coyoacán,BUENA,O3,19
COY,Coyoacán,BUENA,O3,17
CUA,Cuajimalpa,BUENA,PM10,19
GAM,Gustavo A. Madero,BUENA,O3,19
HGM,Cuauhtémoc,BUENA,PM10,20
IZT,Iztacalco,BUENA,O3,17
MER,Venustiano Carranza,BUENA,PM10,33
MGH,Miguel Hidalgo,BUENA,PM10,18
MPA,Milpa Alta,BUENA,O3,24
PED,Álvaro Obregón,BUENA,O3,19
SFE,Cuajimalpa,BUENA,O3,17
SJA,Gustavo A. Madero,BUENA,O3,19
TAH,Tláhuac,BUENA,O3,21
UAX,Coyoacán,BUENA,O3,19
UIZ,Iztapalapa,BUENA,O3,21
ACO,Acolman,BUENA,PM10,44
ATI,Atizapán,BUENA,PM10,29
CHO,Chalco,BUENA,PM10,31
CUT,Tepotzotlán,REGULAR,PM10,52
FAC,Naucalpan,BUENA,PM10,18
INN,Ocoyoacac,BUENA,O3,19
LLA,Ecatepec,BUENA,O3,16
LPR,Anexo de Tlalnepantla,BUENA,O3,17
MON,Texcoco,BUENA,O3,19
NEZ,Nezahualcóyotl,BUENA,O3,16
SAG,Ecatepec,BUENA,PM10,29
TLA,Tlalnepantla,BUENA,PM10,28
TLI,Tultitlán,BUENA,PM10,29
VIF,Coacalco,BUENA,PM10,36
XAL,Ecatepec,BUENA,PM10,41
