clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,16
AJM,Tlalpan,BUENA,PM10,20
BJU,Benito Juárez,BUENA,PM10,23
CAM,Azcapotzalco,BUENA,PM10,25
CCA,Coyoacán,BUENA,NO2,12
COY,Coyoacán,BUENA,NO2,12
CUA,Cuajimalpa,BUENA,PM10,19
GAM,Gustavo A. Madero,BUENA,O3,10
HGM,Cuauhtémoc,BUENA,PM10,23
IZT,Iztacalco,BUENA,PM10,18
MER,Venustiano Carranza,BUENA,PM10,25
MGH,Miguel Hidalgo,BUENA,PM10,20
MPA,Milpa Alta,BUENA,PM10,20
PED,Álvaro Obregón,BUENA,NO2,11
SFE,Cuajimalpa,BUENA,O3,12
SJA,Gustavo A. Madero,BUENA,NO2,10
TAH,Tláhuac,BUENA,PM10,19
UAX,Coyoacán,BUENA,NO2,9
UIZ,Iztapalapa,BUENA,NO2,10
ACO,Acolman,BUENA,PM10,18
ATI,Atizapán,BUENA,PM10,20
CHO,Chalco,BUENA,PM10,23
CUT,Tepotzotlán,BUENA,PM10,21
FAC,Naucalpan,BUENA,PM10,15
INN,Ocoyoacac,BUENA,O3,13
LLA,Ecatepec,BUENA,O3,5
LPR,Anexo de Tlalnepantla,BUENA,O3,6
MON,Texcoco,BUENA,O3,11
NEZ,Nezahualcóyotl,BUENA,O3,10
SAG,Ecatepec,BUENA,PM10,20
TLA,Tlalnepantla,MANTENIMIENTO,,
TLI,Tultitlán,BUENA,PM10,23
VIF,Coacalco,BUENA,PM10,19
XAL,Ecatepec,BUENA,PM10,24
