clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,18
AJM,Tlalpan,BUENA,NO2,14
BJU,Benito Juárez,BUENA,PM10,15
CAM,Azcapotzalco,BUENA,PM10,23
CCA,Coyoacán,BUENA,NO2,20
COY,Coyoacán,BUENA,NO2,20
CUA,Cuajimalpa,BUENA,PM10,13
GAM,Gustavo A. Madero,BUENA,O3,19
HGM,Cuauhtémoc,BUENA,NO2,17
IZT,Iztacalco,BUENA,O3,16
MER,Venustiano Carranza,BUENA,PM10,21
MGH,Miguel Hidalgo,BUENA,NO2,19
MPA,Milpa Alta,BUENA,O3,16
PED,Álvaro Obregón,BUENA,CO,3
SFE,Cuajimalpa,BUENA,NO2,13
SJA,Gustavo A. Madero,BUENA,O3,18
TAH,Tláhuac,BUENA,O3,18
UAX,Coyoacán,BUENA,O3,16
UIZ,Iztapalapa,BUENA,O3,18
ACO,Acolman,BUENA,O3,17
ATI,Atizapán,BUENA,PM10,16
CHO,Chalco,BUENA,O3,19
CUT,Tepotzotlán,BUENA,PM10,18
FAC,Naucalpan,BUENA,NO2,16
INN,Ocoyoacac,BUENA,O3,18
LLA,Ecatepec,BUENA,O3,14
LPR,Anexo de Tlalnepantla,BUENA,O3,15
MON,Texcoco,BUENA,O3,14
NEZ,Nezahualcóyotl,BUENA,CO,8
SAG,Ecatepec,BUENA,PM10,15
TLA,Tlalnepantla,MANTENIMIENTO,,
TLI,Tultitlán,BUENA,PM10,21
VIF,Coacalco,BUENA,PM10,19
XAL,Ecatepec,BUENA,PM10,24
