clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,24
AJM,Tlalpan,REGULAR,PM10,68
BJU,Benito Juárez,REGULAR,PM10,74
CAM,Azcapotzalco,REGULAR,PM10,90
CCA,Coyoacán,MANTENIMIENTO,,
COY,Coyoacán,BUENA,O3,26
CUA,Cuajimalpa,REGULAR,PM10,61
GAM,Gustavo A. Madero,REGULAR,O3,53
HGM,Cuauhtémoc,REGULAR,PM10,77
IZT,Iztacalco,REGULAR,PM10,54
MER,Venustiano Carranza,REGULAR,PM10,86
MGH,Miguel Hidalgo,REGULAR,PM10,73
MPA,Milpa Alta,BUENA,PM10,48
PED,Álvaro Obregón,BUENA,NO2,21
SFE,Cuajimalpa,BUENA,O3,36
SJA,Gustavo A. Madero,MANTENIMIENTO,,
TAH,Tláhuac,BUENA,PM10,44
UAX,Coyoacán,BUENA,O3,24
UIZ,Iztapalapa,BUENA,O3,34
ACO,Acolman,BUENA,O3,34
ATI,Atizapán,REGULAR,PM10,60
CHO,Chalco,REGULAR,O3,61
CUT,Tepotzotlán,REGULAR,PM10,65
FAC,Naucalpan,REGULAR,PM10,52
INN,Ocoyoacac,MANTENIMIENTO,,
LLA,Ecatepec,BUENA,O3,41
LPR,Anexo de Tlalnepantla,REGULAR,O3,76
MON,Texcoco,BUENA,O3,41
NEZ,Nezahualcóyotl,BUENA,O3,31
SAG,Ecatepec,REGULAR,PM10,65
TLA,Tlalnepantla,REGULAR,PM10,99
TLI,Tultitlán,REGULAR,PM10,61
VIF,Coacalco,REGULAR,PM10,54
XAL,Ecatepec,MALA,PM10,101
