clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,16
AJM,Tlalpan,BUENA,O3,18
BJU,Benito Juárez,BUENA,PM10,13
CAM,Azcapotzalco,BUENA,PM10,20
CCA,Coyoacán,BUENA,O3,14
COY,Coyoacán,BUENA,O3,13
CUA,Cuajimalpa,BUENA,O3,16
GAM,Gustavo A. Madero,BUENA,O3,9
HGM,Cuauhtémoc,BUENA,PM10,11
IZT,Iztacalco,BUENA,PM10,11
MER,Venustiano Carranza,BUENA,PM10,15
MGH,Miguel Hidalgo,BUENA,PM10,13
MPA,Milpa Alta,BUENA,O3,19
PED,Álvaro Obregón,BUENA,NO2,10
SFE,Cuajimalpa,BUENA,O3,11
SJA,Gustavo A. Madero,BUENA,NO2,10
TAH,Tláhuac,BUENA,O3,9
UAX,Coyoacán,BUENA,O3,12
UIZ,Iztapalapa,BUENA,PM10,11
ACO,Acolman,BUENA,O3,10
ATI,Atizapán,BUENA,PM10,20
CHO,Chalco,BUENA,O3,11
CUT,Tepotzotlán,BUENA,PM10,16
FAC,Naucalpan,BUENA,NO2,13
INN,Ocoyoacac,BUENA,O3,10
LLA,Ecatepec,BUENA,O3,12
LPR,Anexo de Tlalnepantla,BUENA,O3,8
MON,Texcoco,BUENA,O3,14
NEZ,Nezahualcóyotl,BUENA,O3,8
SAG,Ecatepec,BUENA,PM10,14
TLA,Tlalnepantla,BUENA,PM10,26
TLI,Tultitlán,BUENA,PM10,16
VIF,Coacalco,BUENA,PM10,14
XAL,Ecatepec,BUENA,PM10,19
