clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,MANTENIMIENTO,,
AJM,Tlalpan,MALA,O3,112
BJU,Benito Juárez,MALA,O3,108
CAM,Azcapotzalco,MALA,O3,104
CCA,Coyoacán,MALA,O3,110
COY,Coyoacán,MALA,O3,112
CUA,Cuajimalpa,REGULAR,O3,86
GAM,Gustavo A. Madero,MALA,O3,104
HGM,Cuauhtémoc,MALA,O3,107
IZT,Iztacalco,REGULAR,O3,84
MER,Venustiano Carranza,REGULAR,PM10,87
MGH,Miguel Hidalgo,REGULAR,O3,84
MPA,Milpa Alta,REGULAR,O3,88
PED,Álvaro Obregón,MALA,O3,106
SFE,Cuajimalpa,MANTENIMIENTO,,
SJA,Gustavo A. Madero,REGULAR,O3,92
TAH,Tláhuac,MALA,O3,109
UAX,Coyoacán,MALA,O3,103
UIZ,Iztapalapa,REGULAR,PM10,70
ACO,Acolman,REGULAR,O3,82
ATI,Atizapán,REGULAR,PM10,65
CHO,Chalco,REGULAR,O3,90
CUT,Tepotzotlán,REGULAR,PM10,86
FAC,Naucalpan,REGULAR,O3,59
INN,Ocoyoacac,REGULAR,O3,92
LLA,Ecatepec,REGULAR,O3,82
LPR,Anexo de Tlalnepantla,MALA,O3,104
MON,Texcoco,REGULAR,O3,98
NEZ,Nezahualcóyotl,REGULAR,O3,69
SAG,Ecatepec,REGULAR,O3,76
TLA,Tlalnepantla,REGULAR,PM10,84
TLI,Tultitlán,REGULAR,PM10,80
VIF,Coacalco,REGULAR,PM10,84
XAL,Ecatepec,MALA,PM10,108
