clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,REGULAR,O3,61
AJM,Tlalpan,REGULAR,PM10,54
BJU,Benito Juárez,REGULAR,PM10,67
CAM,Azcapotzalco,REGULAR,PM10,77
CCA,Coyoacán,BUENA,O3,49
COY,Coyoacán,BUENA,O3,48
CUA,Cuajimalpa,MANTENIMIENTO,,
GAM,Gustavo A. Madero,REGULAR,O3,71
HGM,Cuauhtémoc,REGULAR,PM10,67
IZT,Iztacalco,REGULAR,PM10,55
MER,Venustiano Carranza,BUENA,NO2,32
MGH,Miguel Hidalgo,REGULAR,PM10,52
MPA,Milpa Alta,REGULAR,O3,92
PED,Álvaro Obregón,REGULAR,O3,51
SFE,Cuajimalpa,REGULAR,O3,94
SJA,Gustavo A. Madero,BUENA,O3,41
TAH,Tláhuac,REGULAR,O3,63
UAX,Coyoacán,REGULAR,O3,65
UIZ,Iztapalapa,REGULAR,PM10,86
ACO,Acolman,REGULAR,PM10,61
ATI,Atizapán,BUENA,PM10,44
CHO,Chalco,REGULAR,PM10,57
CUT,Tepotzotlán,REGULAR,PM10,55
FAC,Naucalpan,BUENA,O3,39
INN,Ocoyoacac,BUENA,O3,49
LLA,Ecatepec,BUENA,O3,41
LPR,Anexo de Tlalnepantla,BUENA,O3,49
MON,Texcoco,REGULAR,O3,55
NEZ,Nezahualcóyotl,BUENA,O3,44
SAG,Ecatepec,REGULAR,PM10,77
TLA,Tlalnepantla,REGULAR,PM10,73
TLI,Tultitlán,REGULAR,PM10,67
VIF,Coacalco,REGULAR,PM10,80
XAL,Ecatepec,MALA,PM10,111
