clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,MALA,O3,127
AJM,Tlalpan,MALA,O3,137
BJU,Benito Juárez,MALA,O3,109
CAM,Azcapotzalco,REGULAR,O3,78
CCA,Coyoacán,MALA,O3,115
COY,Coyoacán,MALA,O3,105
CUA,Cuajimalpa,MANTENIMIENTO,,
GAM,Gustavo A. Madero,REGULAR,O3,71
HGM,Cuauhtémoc,MALA,O3,109
IZT,Iztacalco,REGULAR,O3,98
MER,Venustiano Carranza,REGULAR,O3,96
MGH,Miguel Hidalgo,MALA,O3,116
MPA,Milpa Alta,MALA,O3,132
PED,Álvaro Obregón,MALA,O3,127
SFE,Cuajimalpa,MALA,O3,127
SJA,Gustavo A. Madero,REGULAR,O3,86
TAH,Tláhuac,MALA,O3,122
UAX,Coyoacán,MALA,O3,102
UIZ,Iztapalapa,REGULAR,O3,92
ACO,Acolman,BUENA,O3,42
ATI,Atizapán,REGULAR,O3,57
CHO,Chalco,MALA,O3,109
CUT,Tepotzotlán,REGULAR,PM10,51
FAC,Naucalpan,REGULAR,O3,78
INN,Ocoyoacac,MALA,O3,123
LLA,Ecatepec,BUENA,O3,48
LPR,Anexo de Tlalnepantla,BUENA,O3,50
MON,Texcoco,REGULAR,O3,61
NEZ,Nezahualcóyotl,REGULAR,O3,92
SAG,Ecatepec,BUENA,O3,49
TLA,Tlalnepantla,MANTENIMIENTO,,
TLI,Tultitlán,BUENA,PM10,40
VIF,Coacalco,BUENA,O3,49
XAL,Ecatepec,REGULAR,PM10,63
