clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,MALA,O3,102
AJM,Tlalpan,MALA,O3,107
BJU,Benito Juárez,MALA,O3,101
CAM,Azcapotzalco,BUENA,O3,46
CCA,Coyoacán,MALA,O3,104
COY,Coyoacán,MALA,O3,103
CUA,Cuajimalpa,REGULAR,O3,65
GAM,Gustavo A. Madero,MANTENIMIENTO,,
HGM,Cuauhtémoc,REGULAR,O3,82
IZT,Iztacalco,MALA,O3,101
MER,Venustiano Carranza,REGULAR,O3,71
MGH,Miguel Hidalgo,REGULAR,O3,65
MPA,Milpa Alta,MALA,O3,104
PED,Álvaro Obregón,REGULAR,O3,98
SFE,Cuajimalpa,REGULAR,O3,71
SJA,Gustavo A. Madero,BUENA,O3,36
TAH,Tláhuac,MALA,O3,103
UAX,Coyoacán,MALA,O3,106
UIZ,Iztapalapa,REGULAR,O3,98
ACO,Acolman,MANTENIMIENTO,,
ATI,Atizapán,BUENA,O3,46
CHO,Chalco,REGULAR,O3,61
CUT,Tepotzotlán,REGULAR,PM10,55
FAC,Naucalpan,BUENA,O3,50
INN,Ocoyoacac,MANTENIMIENTO,,
LLA,Ecatepec,BUENA,O3,41
LPR,Anexo de Tlalnepantla,BUENA,O3,35
MON,Texcoco,REGULAR,O3,59
NEZ,Nezahualcóyotl,REGULAR,O3,61
SAG,Ecatepec,BUENA,PM10,44
TLA,Tlalnepantla,REGULAR,PM10,60
TLI,Tultitlán,MANTENIMIENTO,,
VIF,Coacalco,BUENA,PM10,44
XAL,Ecatepec,REGULAR,PM10,74
