clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,26
AJM,Tlalpan,BUENA,O3,26
BJU,Benito Juárez,BUENA,PM10,24
CAM,Azcapotzalco,BUENA,PM10,40
CCA,Coyoacán,BUENA,O3,21
COY,Coyoacán,BUENA,O3,26
CUA,Cuajimalpa,BUENA,O3,28
GAM,Gustavo A. Madero,BUENA,O3,28
HGM,Cuauhtémoc,BUENA,O3,24
IZT,Iztacalco,BUENA,O3,24
MER,Venustiano Carranza,BUENA,PM10,35
MGH,Miguel Hidalgo,BUENA,PM10,23
MPA,Milpa Alta,BUENA,O3,27
PED,Álvaro Obregón,BUENA,O3,25
SFE,Cuajimalpa,BUENA,O3,26
SJA,Gustavo A. Madero,BUENA,O3,26
TAH,Tláhuac,BUENA,O3,23
UAX,Coyoacán,BUENA,O3,23
UIZ,Iztapalapa,BUENA,O3,26
ACO,Acolman,BUENA,O3,31
ATI,Atizapán,BUENA,O3,30
CHO,Chalco,BUENA,PM10,21
CUT,Tepotzotlán,BUENA,O3,34
FAC,Naucalpan,BUENA,O3,24
INN,Ocoyoacac,BUENA,PM10,11
LLA,Ecatepec,BUENA,O3,26
LPR,Anexo de Tlalnepantla,BUENA,O3,21
MON,Texcoco,BUENA,O3,25
NEZ,Nezahualcóyotl,BUENA,CO,2
SAG,Ecatepec,BUENA,PM10,31
TLA,Tlalnepantla,BUENA,PM10,43
TLI,Tultitlán,BUENA,O3,31
VIF,Coacalco,BUENA,O3,48
XAL,Ecatepec,BUENA,PM10,44
