clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,REGULAR,O3,67
AJM,Tlalpan,REGULAR,O3,69
BJU,Benito Juárez,REGULAR,O3,86
CAM,Azcapotzalco,REGULAR,O3,80
CCA,Coyoacán,REGULAR,O3,82
COY,Coyoacán,REGULAR,O3,96
CUA,Cuajimalpa,BUENA,O3,49
GAM,Gustavo A. Madero,MALA,O3,116
HGM,Cuauhtémoc,REGULAR,O3,88
IZT,Iztacalco,REGULAR,O3,88
MER,Venustiano Carranza,REGULAR,PM10,67
MGH,Miguel Hidalgo,REGULAR,O3,57
MPA,Milpa Alta,REGULAR,O3,88
PED,Álvaro Obregón,REGULAR,O3,59
SFE,Cuajimalpa,REGULAR,O3,55
SJA,Gustavo A. Madero,MALA,O3,111
TAH,Tláhuac,REGULAR,O3,80
UAX,Coyoacán,REGULAR,O3,100
UIZ,Iztapalapa,MALA,O3,104
ACO,Acolman,MANTENIMIENTO,,
ATI,Atizapán,BUENA,O3,45
CHO,Chalco,REGULAR,O3,78
CUT,Tepotzotlán,REGULAR,PM10,55
FAC,Naucalpan,BUENA,O3,41
INN,Ocoyoacac,BUENA,O3,48
LLA,Ecatepec,BUENA,O3,47
LPR,Anexo de Tlalnepantla,REGULAR,O3,78
MON,Texcoco,REGULAR,O3,55
NEZ,Nezahualcóyotl,REGULAR,O3,82
SAG,Ecatepec,BUENA,PM10,50
TLA,Tlalnepantla,REGULAR,PM10,63
TLI,Tultitlán,BUENA,O3,49
VIF,Coacalco,BUENA,PM10,50
XAL,Ecatepec,REGULAR,PM10,77
