clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,48
AJM,Tlalpan,REGULAR,O3,86
BJU,Benito Juárez,REGULAR,O3,57
CAM,Azcapotzalco,REGULAR,PM10,54
CCA,Coyoacán,REGULAR,O3,67
COY,Coyoacán,REGULAR,O3,63
CUA,Cuajimalpa,REGULAR,O3,78
GAM,Gustavo A. Madero,BUENA,O3,38
HGM,Cuauhtémoc,BUENA,O3,47
IZT,Iztacalco,BUENA,O3,49
MER,Venustiano Carranza,REGULAR,PM10,54
MGH,Miguel Hidalgo,BUENA,O3,45
MPA,Milpa Alta,REGULAR,PM10,73
PED,Álvaro Obregón,REGULAR,O3,65
SFE,Cuajimalpa,REGULAR,O3,73
SJA,Gustavo A. Madero,BUENA,O3,41
TAH,Tláhuac,REGULAR,PM10,54
UAX,Coyoacán,BUENA,O3,48
UIZ,Iztapalapa,BUENA,O3,48
ACO,Acolman,BUENA,O3,29
ATI,Atizapán,BUENA,O3,43
CHO,Chalco,REGULAR,PM10,61
CUT,Tepotzotlán,REGULAR,PM10,51
FAC,Naucalpan,BUENA,O3,45
INN,Ocoyoacac,MALA,O3,105
LLA,Ecatepec,BUENA,O3,31
LPR,Anexo de Tlalnepantla,BUENA,O3,36
MON,Texcoco,BUENA,O3,34
NEZ,Nezahualcóyotl,BUENA,O3,41
SAG,Ecatepec,BUENA,PM10,41
TLA,Tlalnepantla,REGULAR,PM10,51
TLI,Tultitlán,BUENA,PM10,39
VIF,Coacalco,BUENA,PM10,36
XAL,Ecatepec,REGULAR,PM10,55
