clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,REGULAR,O3,100
AJM,Tlalpan,REGULAR,O3,92
BJU,Benito Juárez,REGULAR,O3,71
CAM,Azcapotzalco,REGULAR,O3,63
CCA,Coyoacán,REGULAR,O3,80
COY,Coyoacán,REGULAR,O3,71
CUA,Cuajimalpa,REGULAR,O3,98
GAM,Gustavo A. Madero,REGULAR,O3,65
HGM,Cuauhtémoc,REGULAR,O3,73
IZT,Iztacalco,REGULAR,O3,67
MER,Venustiano Carranza,REGULAR,O3,57
MGH,Miguel Hidalgo,REGULAR,O3,69
MPA,Milpa Alta,REGULAR,O3,90
PED,Álvaro Obregón,REGULAR,O3,76
SFE,Cuajimalpa,REGULAR,O3,96
SJA,Gustavo A. Madero,REGULAR,O3,57
TAH,Tláhuac,REGULAR,O3,71
UAX,Coyoacán,REGULAR,O3,80
UIZ,Iztapalapa,REGULAR,O3,51
ACO,Acolman,BUENA,O3,41
ATI,Atizapán,REGULAR,O3,71
CHO,Chalco,REGULAR,O3,51
CUT,Tepotzotlán,BUENA,PM10,49
FAC,Naucalpan,REGULAR,O3,69
INN,Ocoyoacac,MALA,O3,102
LLA,Ecatepec,BUENA,O3,49
LPR,Anexo de Tlalnepantla,BUENA,O3,48
MON,Texcoco,MANTENIMIENTO,,
NEZ,Nezahualcóyotl,BUENA,O3,46
SAG,Ecatepec,BUENA,PM10,49
TLA,Tlalnepantla,REGULAR,O3,67
TLI,Tultitlán,REGULAR,O3,69
VIF,Coacalco,REGULAR,PM10,52
XAL,Ecatepec,REGULAR,PM10,83
