clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,17
AJM,Tlalpan,BUENA,O3,17
BJU,Benito Juárez,BUENA,PM10,19
CAM,Azcapotzalco,BUENA,NO2,12
CCA,Coyoacán,BUENA,O3,17
COY,Coyoacán,BUENA,NO2,10
CUA,Cuajimalpa,BUENA,PM10,21
GAM,Gustavo A. Madero,BUENA,O3,5
HGM,Cuauhtémoc,BUENA,PM10,18
IZT,Iztacalco,BUENA,PM10,19
MER,Venustiano Carranza,BUENA,NO2,12
MGH,Miguel Hidalgo,BUENA,PM10,15
MPA,Milpa Alta,BUENA,O3,16
PED,Álvaro Obregón,BUENA,O3,11
SFE,Cuajimalpa,BUENA,O3,14
SJA,Gustavo A. Madero,BUENA,O3,6
TAH,Tláhuac,BUENA,PM10,28
UAX,Coyoacán,BUENA,O3,9
UIZ,Iztapalapa,BUENA,NO2,12
ACO,Acolman,BUENA,PM10,35
ATI,Atizapán,BUENA,PM10,26
CHO,Chalco,BUENA,PM10,38
CUT,Tepotzotlán,BUENA,O3,8
FAC,Naucalpan,BUENA,PM10,21
INN,Ocoyoacac,BUENA,O3,21
LLA,Ecatepec,BUENA,O3,7
LPR,Anexo de Tlalnepantla,MANTENIMIENTO,,
MON,Texcoco,BUENA,O3,9
NEZ,Nezahualcóyotl,BUENA,NO2,14
SAG,Ecatepec,BUENA,PM10,25
TLA,Tlalnepantla,BUENA,PM10,31
TLI,Tultitlán,BUENA,PM10,31
VIF,Coacalco,BUENA,PM10,28
XAL,Ecatepec,BUENA,PM10,39
