clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,31
AJM,Tlalpan,BUENA,PM10,41
BJU,Benito Juárez,REGULAR,PM10,54
CAM,Azcapotzalco,BUENA,O3,29
CCA,Coyoacán,BUENA,O3,36
COY,Coyoacán,BUENA,O3,36
CUA,Cuajimalpa,BUENA,PM10,40
GAM,Gustavo A. Madero,BUENA,O3,38
HGM,Cuauhtémoc,BUENA,O3,31
IZT,Iztacalco,BUENA,PM10,41
MER,Venustiano Carranza,BUENA,O3,31
MGH,Miguel Hidalgo,BUENA,PM10,49
MPA,Milpa Alta,BUENA,O3,36
PED,Álvaro Obregón,BUENA,O3,31
SFE,Cuajimalpa,BUENA,O3,21
SJA,Gustavo A. Madero,BUENA,CO,13
TAH,Tláhuac,BUENA,PM10,44
UAX,Coyoacán,BUENA,CO,3
UIZ,Iztapalapa,BUENA,O3,39
ACO,Acolman,BUENA,PM10,50
ATI,Atizapán,REGULAR,PM10,65
CHO,Chalco,BUENA,PM10,41
CUT,Tepotzotlán,REGULAR,PM10,78
FAC,Naucalpan,BUENA,PM10,39
INN,Ocoyoacac,BUENA,O3,29
LLA,Ecatepec,BUENA,O3,29
LPR,Anexo de Tlalnepantla,BUENA,O3,33
MON,Texcoco,BUENA,CO,5
NEZ,Nezahualcóyotl,BUENA,O3,38
SAG,Ecatepec,REGULAR,PM10,60
TLA,Tlalnepantla,REGULAR,PM10,74
TLI,Tultitlán,REGULAR,PM10,74
VIF,Coacalco,REGULAR,PM10,60
XAL,Ecatepec,MALA,PM10,102
