clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,0
AJM,Tlalpan,BUENA,PM10,34
BJU,Benito Juárez,REGULAR,PM10,52
CAM,Azcapotzalco,MANTENIMIENTO,,
CCA,Coyoacán,BUENA,NO2,7
COY,Coyoacán,BUENA,NO2,8
CUA,Cuajimalpa,BUENA,PM10,38
GAM,Gustavo A. Madero,MANTENIMIENTO,,
HGM,Cuauhtémoc,REGULAR,PM10,52
IZT,Iztacalco,BUENA,PM10,44
MER,Venustiano Carranza,MANTENIMIENTO,,
MGH,Miguel Hidalgo,BUENA,PM10,43
MPA,Milpa Alta,REGULAR,PM10,61
PED,Álvaro Obregón,BUENA,O3,5
SFE,Cuajimalpa,MANTENIMIENTO,,
SJA,Gustavo A. Madero,BUENA,NO2,10
TAH,Tláhuac,BUENA,PM10,49
UAX,Coyoacán,BUENA,NO2,9
UIZ,Iztapalapa,BUENA,NO2,11
ACO,Acolman,BUENA,PM10,31
ATI,Atizapán,BUENA,PM10,35
CHO,Chalco,REGULAR,PM10,90
CUT,Tepotzotlán,REGULAR,PM10,51
FAC,Naucalpan,MANTENIMIENTO,,
INN,Ocoyoacac,BUENA,PM10,19
LLA,Ecatepec,BUENA,SO2,5
LPR,Anexo de Tlalnepantla,BUENA,CO,7
MON,Texcoco,BUENA,CO,9
NEZ,Nezahualcóyotl,BUENA,NO2,11
SAG,Ecatepec,REGULAR,PM10,60
TLA,Tlalnepantla,REGULAR,PM10,58
TLI,Tultitlán,REGULAR,PM10,63
VIF,Coacalco,BUENA,PM10,46
XAL,Ecatepec,MALA,PM10,101
