clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,34
AJM,Tlalpan,BUENA,O3,40
BJU,Benito Juárez,BUENA,O3,48
CAM,Azcapotzalco,BUENA,PM10,50
CCA,Coyoacán,BUENA,O3,44
COY,Coyoacán,BUENA,O3,50
CUA,Cuajimalpa,BUENA,O3,41
GAM,Gustavo A. Madero,BUENA,O3,47
HGM,Cuauhtémoc,BUENA,O3,46
IZT,Iztacalco,BUENA,O3,46
MER,Venustiano Carranza,BUENA,PM10,44
MGH,Miguel Hidalgo,BUENA,O3,38
MPA,Milpa Alta,BUENA,O3,47
PED,Álvaro Obregón,BUENA,O3,42
SFE,Cuajimalpa,MANTENIMIENTO,,
SJA,Gustavo A. Madero,BUENA,O3,50
TAH,Tláhuac,BUENA,PM10,46
UAX,Coyoacán,BUENA,O3,44
UIZ,Iztapalapa,BUENA,O3,43
ACO,Acolman,BUENA,PM10,41
ATI,Atizapán,BUENA,PM10,34
CHO,Chalco,REGULAR,PM10,52
CUT,Tepotzotlán,REGULAR,PM10,52
FAC,Naucalpan,BUENA,PM10,36
INN,Ocoyoacac,BUENA,O3,39
LLA,Ecatepec,BUENA,O3,34
LPR,Anexo de Tlalnepantla,BUENA,CO,15
MON,Texcoco,BUENA,O3,37
NEZ,Nezahualcóyotl,BUENA,O3,35
SAG,Ecatepec,REGULAR,PM10,57
TLA,Tlalnepantla,BUENA,PM10,50
TLI,Tultitlán,REGULAR,PM10,51
VIF,Coacalco,REGULAR,PM10,58
XAL,Ecatepec,REGULAR,PM10,88
