clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,16
AJM,Tlalpan,BUENA,PM10,28
BJU,Benito Juárez,BUENA,PM10,31
CAM,Azcapotzalco,MANTENIMIENTO,,
CCA,Coyoacán,BUENA,O3,16
COY,Coyoacán,BUENA,O3,12
CUA,Cuajimalpa,BUENA,PM10,21
GAM,Gustavo A. Madero,MANTENIMIENTO,,
HGM,Cuauhtémoc,BUENA,PM10,31
IZT,Iztacalco,BUENA,PM10,24
MER,Venustiano Carranza,BUENA,PM10,39
MGH,Miguel Hidalgo,BUENA,PM10,23
MPA,Milpa Alta,BUENA,PM10,31
PED,Álvaro Obregón,BUENA,O3,16
SFE,Cuajimalpa,MANTENIMIENTO,,
SJA,Gustavo A. Madero,BUENA,O3,19
TAH,Tláhuac,BUENA,PM10,31
UAX,Coyoacán,BUENA,NO2,10
UIZ,Iztapalapa,BUENA,O3,15
ACO,Acolman,MANTENIMIENTO,,
ATI,Atizapán,BUENA,PM10,30
CHO,Chalco,BUENA,PM10,39
CUT,Tepotzotlán,BUENA,PM10,30
FAC,Naucalpan,BUENA,PM10,24
INN,Ocoyoacac,BUENA,PM10,23
LLA,Ecatepec,BUENA,O3,4
LPR,Anexo de Tlalnepantla,BUENA,O3,18
MON,Texcoco,BUENA,SO2,1
NEZ,Nezahualcóyotl,BUENA,O3,10
SAG,Ecatepec,BUENA,PM10,28
TLA,Tlalnepantla,BUENA,PM10,36
TLI,Tultitlán,BUENA,O3,9
VIF,Coacalco,BUENA,PM10,28
XAL,Ecatepec,BUENA,PM10,31
