clave,delegacion,calidad,parametro,indice
AJU,Tlalpan,BUENA,O3,40
AJM,Tlalpan,BUENA,PM10,49
BJU,Benito Juárez,REGULAR,PM10,78
CAM,Azcapotzalco,REGULAR,PM10,96
CCA,Coyoacán,BUENA,O3,22
COY,Coyoacán,BUENA,NO2,34
CUA,Cuajimalpa,BUENA,PM10,50
GAM,Gustavo A. Madero,BUENA,O3,19
HGM,Cuauhtémoc,BUENA,NO2,29
IZT,Iztacalco,REGULAR,PM10,58
MER,Venustiano Carranza,BUENA,NO2,27
MGH,Miguel Hidalgo,REGULAR,PM10,52
MPA,Milpa Alta,REGULAR,PM10,60
PED,Álvaro Obregón,BUENA,O3,24
SFE,Cuajimalpa,BUENA,O3,26
SJA,Gustavo A. Madero,BUENA,CO,16
TAH,Tláhuac,REGULAR,PM10,73
UAX,Coyoacán,BUENA,O3,26
UIZ,Iztapalapa,BUENA,O3,25
ACO,Acolman,REGULAR,PM10,64
ATI,Atizapán,REGULAR,PM10,78
CHO,Chalco,MALA,PM10,106
CUT,Tepotzotlán,REGULAR,PM10,99
FAC,Naucalpan,REGULAR,PM10,57
INN,Ocoyoacac,BUENA,O3,36
LLA,Ecatepec,BUENA,O3,18
LPR,Anexo de Tlalnepantla,BUENA,CO,16
MON,Texcoco,BUENA,O3,25
NEZ,Nezahualcóyotl,BUENA,O3,22
SAG,Ecatepec,REGULAR,PM10,81
TLA,Tlalnepantla,REGULAR,PM10,83
TLI,Tultitlán,REGULAR,PM10,94
VIF,Coacalco,MALA,PM10,103
XAL,Ecatepec,MALA,PM10,105
